"","LC_01_S","LC_02_S","LC_02_W","LC_03_W","LC_04_W","LC_05_S","LC_05_W","LC_07_W","LC_08_S","LC_08_W","LC_09_S","LC_09_W","LC_10_S","LC_10_W","LC_11_S","LC_11_W","LC_13_S","LC_13_W","LC_14_W","LC_15_W","LC_16_S","LC_16_W","LC_17_S","LC_18_S","LC_18_W","LC_19_S","LC_20_W","LC_21_W","LC_22_W","W1_01_S","W1_02_S","W1_02_W","W1_03_W","W1_04_W","W1_05_S","W1_05_W","W1_06_S","W1_06_W","W1_08_S","W1_08_W","W1_10_S","W1_11_W","W1_12_S","W1_12_W","W1_13_W","W1_14_W","W1_15_W","W1_17_W","W1_18_S","W1_19_S","W1_20_S","W1_20_W","W1_21_S","W1_21_W","W1_22_S","W1_22_W"
"W1_14_W",-0.094,-1,0.296,-1,-1,-1,-1,-1,-1,-0.994,-1,-0.946,-1,-0.576,-0.664,-1,-0.446,-1,-1,-1,-1,-1,-1,-1,-0.916,-0.97,-1,-0.966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.994,-1,-1,-1,-1,-1,0.964,-0.001,-0.998,0.902,-0.998,-0.858,0.108,-1,-0.786,-1,-1,-1
"W1_15_W",0.938,-1,0.708,-1,-1,-1,-0.998,-1,-1,-0.832,-1,0.048,-1,0.22,0.616,-1,0.592,-1,-1,-1,-1,-1,-0.986,-1,-0.86,0.142,-1,-0.916,-1,-1,-0.996,-1,-0.95,-0.91,-0.986,-1,-1,-1,-0.804,-1,-1,-1,-1,-0.96,0.998,-0.998,-0.001,0.984,-0.42,-0.394,0.952,-1,0.71,-0.998,-1,-1
"W1_17_W",0.57,0.978,0.552,0.998,0.984,0.948,0.998,0.954,0.482,0.998,0.674,0.998,0.874,0.998,0.406,0.868,0.266,0.974,0.99,0.998,0.898,0.62,0.998,0.042,0.998,0.204,0.664,0.864,0.924,0.708,0.702,0.998,0.998,0.908,0.91,0.998,0.41,0.982,0.988,0.878,0.98,0.974,0.998,0.998,0.992,0.902,0.984,-0.001,0.982,0.96,0.534,-0.268,0.734,0.95,0.8,0.968
"W1_18_S",0.998,0.934,-0.948,-1,-1,-0.628,-0.826,-0.998,0.19,-0.07,0.998,0.0860000000000001,0.986,-0.01,0.986,-1,0.914,-1,-0.916,-0.956,0.14,-1,0.666,-0.832,-0.786,0.998,-1,-0.772,-0.454,0.716,0.976,-0.982,-0.29,-0.496,0.282,0.73,-0.86,-0.904,0.652,-0.812,0.998,-0.912,0.998,-0.096,0.994,-0.998,-0.42,0.982,-0.001,-0.036,0.992,-1,0.998,-0.79,0.31,-0.88
"W1_19_S",0.162,0.0580000000000001,-0.752,0.208,-0.89,0.542,0.758,-0.664,-0.944,0.716,-0.984,0.914,-0.81,0.456,-0.434,-0.824,0.206,-0.836,-0.378,0.288,-0.852,-0.954,0.766,-0.914,-0.208,-0.974,-0.646,-0.362,0.04,-0.586,-0.436,0.168,0.904,0.28,0.626,0.884,-0.338,-0.162,0.984,0.256,-0.096,0.396,0.766,0.946,0.968,-0.858,-0.394,0.96,-0.036,-0.001,-0.574,-1,-0.298,-0.476,-0.278,0.466
"W1_20_S",0.84,0.75,-0.132,-0.916,-0.716,-0.184,-0.266,0.572,0.928,0.502,0.998,0.716,0.988,-0.132,0.99,0.838,0.516,-0.578,0.998,0.492,0.81,-0.93,-0.074,0.158,-0.76,0.994,0.164,0.644,0.998,0.894,0.97,0.808,0.73,0.948,0.774,0.992,0.0960000000000001,0.992,0.316,0.974,0.998,0.946,0.988,0.852,0.93,0.108,0.952,0.534,0.992,-0.574,-0.001,0.914,0.996,0.998,0.832,0.978
"W1_20_W",-0.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.986,-1,-1,-0.286,-1,-0.948,-1,-1,-1,-1,-1,-1,-1,-1,-0.956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,-1,0.778,-1,-1,-0.268,-1,-1,0.914,-0.001,-0.978,-1,-1,-1
"W1_21_S",0.998,0.984,-0.38,-1,-1,-0.148,-0.81,-0.566,0.968,0.004,0.998,0.494,0.956,-0.396,0.992,-0.42,0.962,-0.998,0.854,-0.738,0.96,-1,0.548,0.018,-0.958,0.996,-0.81,0.456,0.992,0.986,0.998,0.0640000000000001,0.056,0.98,0.874,0.916,0.156,0.662,0.606,0.878,0.998,0.668,0.998,0.136,0.99,-0.786,0.71,0.734,0.998,-0.298,0.996,-0.978,-0.001,0.914,0.994,0.602
"W1_21_W",0.958,-1,0.796,-1,-1,-1,-0.998,-1,-1,-0.93,-1,0.048,-1,-0.174,0.722,-1,0.796,-1,-1,-1,-1,-1,-0.998,-1,-0.962,0.406,-1,-0.966,-1,-1,-0.964,-1,-0.99,-0.978,-0.998,-1,-0.788,-1,-0.432,-1,-1,-1,-1,-1,0.998,-1,-0.998,0.95,-0.79,-0.476,0.998,-1,0.914,-0.001,-1,-0.968
"W1_22_S",0.998,-0.538,-0.758,-1,-1,0.928,-1,-1,-0.816,-1,-1,-1,-0.816,-0.994,0.848,-1,0.998,-1,-1,-1,-1,-1,-0.618,0.056,-1,0.942,-1,-0.984,-1,0.998,0.998,-1,-1,-1,-0.478,-1,0.998,-1,0.962,-1,-0.986,-1,-0.254,-1,0.76,-1,-1,0.8,0.31,-0.278,0.832,-1,0.994,-1,-0.001,-1
