sample,date,time,latitude,longitude,watershed,site,habitat,microhabitat,elevation,temperature,sp_cond,conductivity,tds,salinity,ph,orp,TN,TP,DOC
W1_06_S,25-May-15,14:50,44.206147,-122.255781,WS01,W1_06,sediment,Pool,489,10.89,54,39,0.035,0.02,6.9,-32.6,149.6462264,24.38958786,1.898
W1_06_W,25-May-15,14:50,44.206147,-122.255781,WS01,W1_06,water,Pool,489,10.89,54,39,0.035,0.02,6.9,-32.6,149.6462264,24.38958786,1.898
W1_07_S,25-May-15,14:50,44.206147,-122.255781,WS01,W1_07,sediment,Riffle,489,11.43,54,40,0.035,0.02,7.08,-56.9,-54.31603774,25.9863837,1.289
W1_07_W,25-May-15,14:50,44.206147,-122.255781,WS01,W1_07,water,Riffle,489,11.43,54,40,0.035,0.02,7.08,-56.9,-54.31603774,25.9863837,1.289
W1_08_S,26-May-15,NA,44.205889,-122.254578,WS01,W1_08,sediment,Riffle,541,9.67,29,20,0.019,0.01,8.33,-58.4,-54.31603774,36.60634336,1.556
W1_08_W,26-May-15,NA,44.205889,-122.254578,WS01,W1_08,water,Riffle,541,9.67,29,20,0.019,0.01,8.33,-58.4,-54.31603774,36.60634336,1.556
W1_09_S,26-May-15,NA,44.205889,-122.254578,WS01,W1_09,sediment,Riffle,541,11.18,11,8,0.007,0,7.18,-47.2,114.9292453,23.85732257,1.309
W1_09_W,26-May-15,NA,44.205889,-122.254578,WS01,W1_09,water,Riffle,541,11.18,11,8,0.007,0,7.18,-47.2,114.9292453,23.85732257,1.309
W1_10_S,26-May-15,NA,44.205889,-122.254578,WS01,W1_10,sediment,Pool,541,11.2,54,40,0.035,0.02,7.07,-56.7,19.45754717,20.89184458,1.47
W1_10_W,26-May-15,NA,44.205889,-122.254578,WS01,W1_10,water,Pool,541,11.2,54,40,0.035,0.02,7.07,-56.7,19.45754717,20.89184458,1.47
W1_11_S,26-May-15,20:19,44.205353,-122.252233,WS01,W1_11,sediment,Riffle,550,11.22,56,41,0.036,0.03,7.61,-24.4,119.2688679,22.15914287,1.666
W1_11_W,26-May-15,20:19,44.205353,-122.252233,WS01,W1_11,water,Riffle,550,11.22,56,41,0.036,0.03,7.61,-24.4,119.2688679,22.15914287,1.666
W1_12_S,26-May-15,14:38,44.204856,-122.249808,WS01,W1_12,sediment,Pool,576,11.18,58,43,0.038,0.03,7.76,2.3,71.53301887,24.44027979,1.051
W1_12_W,26-May-15,14:38,44.204856,-122.249808,WS01,W1_12,water,Pool,576,11.18,58,43,0.038,0.03,7.76,2.3,71.53301887,24.44027979,1.051
W1_13_S,26-May-15,14:38,44.204856,-122.249808,WS01,W1_13,sediment,Riffle,576,11.21,41,30,0.026,0.02,7.31,-5.6,10.77830189,23.62920888,2.638
W1_13_W,26-May-15,14:38,44.204856,-122.249808,WS01,W1_13,water,Riffle,576,11.21,41,30,0.026,0.02,7.31,-5.6,10.77830189,23.62920888,2.638
W1_14_S,28-May-15,14:49,44.204814,-122.249864,WS01,W1_14,sediment,Pool,592,12.98,62,48,0.04,0.03,7.35,45.9,54.1745283,19.67523822,1.424
